word	phonetic	meaning_cn	category	bnc_rank	frq_rank	wordfreq_zipf	exchange_info	data_quality	example_sentence
the	ðә	art. 那	art.	1	1			ecdict_complete	
of	ɒv	prep. 的, 属于	prep.	3	4			ecdict_complete	
and	ænd	conj. 和, 与\n[计] 与	conj.	4	3			ecdict_complete	
to	tu:	prep. 到, 向, 趋于\nadv. 向前	prep.	7	7			ecdict_complete	
in	in	prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着\nadv. 进入, 朝里, 在里面, 在屋里\na. 在里面的, 在朝的\nn. 执政者, 交情	prep.	6	6			ecdict_complete	
for	fɒ:	prep. 为, 因为, 至于\nconj. 因为\n[计] DOS批处理命令:对一组参数重复执行指定的命令	prep.	12	13			ecdict_complete	
on	ɒn	prep. 在...之上\nadv. ...上去\na. 正起作用的\n[计] 打开	prep.	17	17			ecdict_complete	
that	ðæt	a. 那, 那个\nconj. 以致, 因为\npron. 那\nadv. 那么, 那样	a.	14	12			ecdict_complete	
by	bai	prep. 被, 经, 由, 在...之旁\nadv. 经过, 在近处	prep.	20	30			ecdict_complete	
this	θis	pron. 这, 本\na. 这, 本\nadv. 这么	pron.	23	20			ecdict_complete	
with	wið	prep. 和...在一起, 以, 由于	prep.	16	16			ecdict_complete	
i	ai	pron. 我\n[计] 电流, 中断, 指令, 指示符	pron.	4624	11			ecdict_complete	
you	ju:	pron. 你, 你们	pron.	15	14			ecdict_complete	
it	it	pron. 它\n[计] 信息论, 输入终端, 智能终端, 内捕获	pron.	9	10			ecdict_complete	
not	nɒt	adv. 不, 非, 未\n[计] 非	adv.	13	28			ecdict_complete	
or	ɒ:	conj. 或, 或者\n[计] 或	conj.	29	32			ecdict_complete	
be	bi:	v. 是, 表示, 在\n[计] 后端, 总线允许	v.	2	2		p:was/3:is/d:been/i:being	ecdict_complete	
from	frɒm	prep. 从, 来自, 根据	prep.	27	26			ecdict_complete	
at	æt	prep. 在, 向, 对\n[计] 地址转换器, 异常传输, 自动订票	prep.	22	22			ecdict_complete	
as	æz	adv. 同样地, 例如\nprep. 做为, 当作\nconj. 当...之时, 以...的方式, 像...一样, 因为\n[计] 高级系统, 先进系统, 辅助存储器, 自治系统	adv.	33	33			ecdict_complete	
your	juә	pron. 你的, 你们的	pron.	66	69			ecdict_complete	
all	ɒ:l	a. 所有的, 全部的, 一切的\nadv. 全部, 全然\npron. 全部\nn. 全部	a.	39	43			ecdict_complete	
have	hæv	vt. 有, 怀有, 拿, 进行\naux. 已经	vt.	8	8		i:having/p:had/3:has/d:had	ecdict_complete	
new	nju:	a. 新的, 陌生的, 最近的, 不熟悉的\n[法] 新发现的, 新的, 重新开始的	a.	81	88		r:newer/t:newest	ecdict_complete	
more	mɒ:	"n. 更多\na. 多的, 程度较大的, 更大的\nadv. 多, 更多, 进一步\n[计] DOS外部命令:显示满屏后自动暂停, 并显示:""--More--"", 按任意键继续"	n.	74	81			ecdict_complete	
an	æn	art. 一	art.	30	0			ecdict_complete	
we	wi:	pron. 我们	pron.	26	24			ecdict_complete	
will	wil	n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱\nvt. 用意志的力量驱使, 决意, 愿意, 立遗嘱\nvi. 下决心, 愿意\naux. 将, 愿意, 必须	n.	31	48		i:willing/p:willed/3:wills/d:willed	ecdict_complete	
home	hәum	n. 家, 避难所, 故乡\na. 家庭的, 国内的, 打中目标的\nadv. 在家, 在本国, 打中目标地\n[计] 返回始位	n.	222	224		s:homes/i:homing/p:homed/3:homes/d:homed	ecdict_complete	
can	kæn	vt. 装罐\nn. 罐头, 容器\naux. 能, 可以\n[计] 作废字符	vt.	35	37		s:cans/i:/p:could/3:can/d:	ecdict_complete	
us	ʌs	pron. 我们\n[经] 美国	pron.	614	113			ecdict_complete	
about	ә'baut	prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围	prep.	63	46			ecdict_complete	
if	if	conj. 如果, 是否, 无论何时, 假设, 即使\nn. 条件\n[计] DOS批处理命令:根据所测试的条件决定是否执行另一条命令	conj.	40	40			ecdict_complete	
page	peidʒ	n. 页, 记录, 事件, 专栏, 男侍\nvt. 标明...的页数, 翻...的书页, 分页排版, 呼叫, 侍候\nvi. 翻书页, 侍侯\n[计] 页 / 页面	n.	658	708		s:pages/i:paging/p:paged/3:pages/d:paged	ecdict_complete	
my	mai	pron. 我的\n[医] 迈尔(热容单位)	pron.	61	44			ecdict_complete	
search	sә:tʃ	n. 搜寻, 查究\nv. 搜寻, 搜查, 探求, 调查, 搜索\n[计] 搜索, 路径检索程序	n.	1690	1500		i:searching/p:searched/s:searches/d:searched/3:searches	ecdict_complete	
free	fri:	a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的\nvt. 释放, 解放, 使自由\nadv. 自由地, 免费	a.	497	473		d:freed/i:freeing/r:freer/p:freed/3:frees	ecdict_complete	
but	bʌt	prep. 除了\nconj. 但是\nadv. 仅仅	prep.	24	23			ecdict_complete	
our	'auә	pron. 我们的	pron.	93	79			ecdict_complete	
one	wʌn	n. 一(个)\npron. 一, 任何人\nnum. 一, 一个\na. 一致的, 完整的	n.	46	51		s:ones	ecdict_complete	
other	'ʌðә	a. 其他的, 另外的, 从前的\npron. 其他的, 他人, 另外一个	a.	69	75		s:others	ecdict_complete	
do	du:	v. 做, 进行, 完成	v.	19	18		i:doing/p:did/3:does/d:done	ecdict_complete	
no	nәu	n. 不, 拒绝, 否决票\na. 没有, 不是, 绝非\nadv. 不	n.	68	93			ecdict_complete	
information	.infә'meiʃәn	n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉\n[计] 信息	n.	223	314			ecdict_complete	
time	taim	n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间\nvt. 测定...的时间, 记录...的时间, 计时, 定时\na. 时间的, 记时的, 定时的, 定期的, 分期的\n[计] DOS内部命令:用于显示或设定系统的时间	n.	50	52		s:times/d:timed/i:timing/p:timed/3:times	ecdict_complete	
they	ðei	pron. 他们, 它们	pron.	18	21			ecdict_complete	
site	sait	n. 位置, 场所, 地点\nvt. 给...择址	n.	646	532		s:sites/d:sited/i:siting/p:sited/3:sites	ecdict_complete	
he	hi:	pron. 他\nn. 男孩, 男人, 雄性动物	pron.	11	15			ecdict_complete	
up	ʌp	a. 向上的, 起床的, 涨的\nadv. 向上, 上涨\nprep. 在...上面, 向...的较高处	a.	52	50		d:upped/0:up/i:upping/3:up/1:3/p:upped/s:ups	ecdict_complete	
may	mei	n. 五月\naux. 愿能, 可以, 愿意	n.	83	119			ecdict_complete	
what	hwɒt	pron. 什么\ninterj. 怎么, 多么\na. 什么的\nadv. 到什么程度	pron.	38	34			ecdict_complete	
which	hwitʃ	pron. 哪一个, 那一个	pron.	28	58			ecdict_complete	
their	ðєә	pron. 他们的	pron.	36	36			ecdict_complete	
news	nju:z	n. 新闻, 消息, 报导\n[法] 新闻, 消息, 新闻报导	n.	692	574			ecdict_complete	
out	aut	a. 外面的, 熄灭的, 结束的\nadv. 在外, 熄灭, 出现\nprep. 出自, 离去, 向	a.	62	64		i:outing/p:outed/3:outs/d:outed	ecdict_complete	
use	ju:s	n. 使用, 习惯, 使用价值, 用法, 使用权\nvt. 使用, 利用, 运用, 耗费\nvi. 惯常	n.	87	92		d:used/i:using/p:used/3:uses/s:uses	ecdict_complete	
any	'eni	a. 任何的\npron. 任何	a.	78	109			ecdict_complete	
there	ðєә	adv. 在那里	adv.	37	53			ecdict_complete	
see	si:	vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意\nvi. 看, 观看, 注意, 知道, 考虑\nn. 主教的职位	vt.	47	67		d:seen/p:saw/i:seeing/3:sees	ecdict_complete	
only	'әunli	a. 唯一的, 仅有的, 最佳的\nadv. 只有, 仅仅, 只能\nconj. 但是, 不过	a.	70	101			ecdict_complete	
so	sәu	adv. 如此, 如是, 如...那样\nconj. 所以, 因此\npron. 这样	adv.	48	55			ecdict_complete	
his	hiz	pron. 他的\n[化] 组氨酸	pron.	25	25			ecdict_complete	
when	hwen	conj. 当...的时候\nadv. 何时, 什么时候\npron. 什么时侯\nn. 时间	conj.	54	57			ecdict_complete	
contact	'kɒntækt	n. 联系, 交际, 熟人, 接触\nvi. 接触, 联系\nvt. 使接触	n.	1196	1480		s:contacts/d:contacted/p:contacted/i:contacting/3:contacts	ecdict_complete	
here	hiә	adv. 在这里, 此时, 这里\nn. 这里	adv.	117	96			ecdict_complete	
business	'biznis	n. 生意, 事情, 业务, 商业, 商行, 职责\n[经] 企业, 商业, 营业	n.	215	246		s:businesses	ecdict_complete	
who	hu:	pron. 谁	pron.	45	38			ecdict_complete	
web	web	n. 网, 蛛丝, 蹼, 织物, 圈套, 卷筒纸\nvi. 结网, 形成网\nvt. 织蜘蛛网于, 使落入圈套	n.	6919	3706		s:webs/i:webbing/p:webbed/3:webs/d:webbed	ecdict_complete	
also	'ɒ:lsәu	adv. 也, 并且, 同样地	adv.	77	87			ecdict_complete	
now	nau	adv. 现在, 刚才, 目前\nn. 现在\na. 现在的\nconj. 由于	adv.	67	72			ecdict_complete	
help	help	n. 帮忙, 帮助者, 补救办法, 有益的东西\nvt. 帮助, 帮忙, 接济, 治疗, 款待\nvi. 有用, 救命, 招待\n[计] 帮助, 帮助程序 / DOS外部命令: DOS命令的电子文件帮助程序	n.	204	167		d:helped/i:helping/p:helped/3:helps/s:helps	ecdict_complete	
get	get	vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上\nvi. 到达, 成为, 变得\nn. (网球等)救球, 生殖, 幼兽\n[计] 取得指令, 获取文件	vt.	41	39		d:got/p:got/i:getting/3:gets	ecdict_complete	
view	vju:	n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象\nvt. 看, 考虑, 视察, 查看, 估量\n[计] 视图	n.	311	485		s:views/d:viewed/p:viewed/i:viewing/3:views	ecdict_complete	
first	fә:st	adv. 首先, 第一, 优先\na. 第一的\nnum. 第一\nn. 开始, 第一	adv.	79	86			ecdict_complete	
would	wud	aux. 将, 愿意	aux.	34	41			ecdict_complete	
how	hau	adv. 如何, 怎样, 多少, 多么\nn. 方式	adv.	90	76			ecdict_complete	
me	mi:	pron. 我	pron.	15312	61		s:mes	ecdict_complete	
some	sʌm	pron. 一些, 一部分, 若干\nadv. 大约\na. 一些的, 少许的, 某一的	pron.	53	60			ecdict_complete	
these	ði:z	pron. 这些	pron.	76	82			ecdict_complete	
click	klik	n. 咔哒声, 啪嗒声\nvi. 作咔哒声\nvt. 使发咔哒声\n[计] 单击	n.	6659	3794		p:clicked/i:clicking/s:clicks/3:clicks/d:clicked	ecdict_complete	
its	its	pron. 它的	pron.	58	78			ecdict_complete	
like	laik	a. 相似的, 同样的\nvt. 喜欢, 愿意, 想\nvi. 喜欢, 希望\nn. 爱好, 同样的人(或物)\nprep. 象, 如同\nadv. 可能	a.	88	74		p:liked/3:likes/d:liked/s:likes/i:liking	ecdict_complete	
service	'sә:vis	n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门\nvt. 保养, 维修\na. 武装部队的, 服务性的, 仆人的, 耐用的\n[计] 服务, 业务	n.	160	263		s:services/d:serviced/i:servicing/p:serviced/3:services	ecdict_complete	
x	eks	n. 未知数\n[计] 交换, 变址, 索引, 传输	n.	1553	0			ecdict_complete	
than	ðæn	conj. 比, 除...外\nprep. 比	conj.	89	73			ecdict_complete	
find	faind	vt. 发现, 感到, 找到, 认为, 得到\nvi. 裁决\nn. 发现\n[计] 查找 / DOS外部命令:在指定的文件或从键盘输入的文本行中\n寻找指定的字符串, 将符合条件的行或行数输出到标准输出设备上	vt.	92	95		d:found/p:found/i:finding/3:finds/s:finds	ecdict_complete	
price	prais	n. 价格, 代价, 价值\nvt. 定...的价格	n.	338	475		s:prices/d:priced/i:pricing/p:priced/3:prices	ecdict_complete	
date	deit	n. 日期, 约会, 枣椰树\nvt. 约会, 定日期\nvi. 注明日期, 过时	n.	571	1201		s:dates/d:dated/i:dating/3:dates/p:dated	ecdict_complete	
back	bæk	a. 后面的\nvt. 使后退, 支持\nvi. 倒退, 背靠\nadv. 向后地\nn. 背部, 后面	a.	105	108		d:backed/s:backs/p:backed/i:backing/3:backs	ecdict_complete	
top	tɒp	n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺\na. 最高的, 顶上的, 头等的\nvt. 盖, 加以顶, 高达, 超越\nvi. 结束, 达到顶点, 高出\n[计] TOP协议	n.	776	678		s:tops/d:topped/p:topped/i:topping/3:tops	ecdict_complete	
people	'pi:pl	n. 人, 人民, 民族, 平民\nvt. 使住满人, 居住于	n.	75	62		s:peoples/i:peopling/p:peopled/3:peoples/d:peopled	ecdict_complete	
list	list	n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单\nvt. 列出, 列于表上, 记入名单内, 装布条\nvi. 列于表上\n[计] 列表, 序列, 数据清单	n.	716	761		s:lists/d:listed/p:listed/3:lists/i:listing	ecdict_complete	
name	neim	n. 名字, 名称, 姓名, 名义, 名誉, 文件名\nvt. 命名, 称呼, 任命, 提名, 列举\na. 姓名的, 据以取名的\n[计] 名称, 文件名, 姓名	n.	271	298		s:names/d:named/p:named/i:naming/3:names	ecdict_complete	
just	dʒʌst	a. 正直的, 合理的, 正确的, 应得的\nadv. 刚刚, 正好, 仅仅	a.	72	66			ecdict_complete	
over	'әuvә	adv. 结束, 越过, 从头到尾\nprep. 在...之上, 遍于...之上, 越过\na. 上面的\nvt. 越过	adv.	110	124		s:overs	ecdict_complete	
state	steit	n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位\na. 国家的, 正式的, 礼仪用的, 州的\nvt. 说明, 陈述, 规定\n[计] 状态	n.	194	137		s:states/p:stated/d:stated/3:states/i:stating	ecdict_complete	
year	jiә	n. 年, 年度, 年龄\n[经] 年度	n.	56	54		s:years	ecdict_complete	
day	dei	n. 天, 日子, 白天, 工作日\n[医] 日(一昼夜), 昼, 白天	n.	95	90		s:days	ecdict_complete	
into	'intu:	prep. 进入...之内, 朝..., 深入...之中, 成为...状况	prep.	57	65			ecdict_complete	
email	'i:'meil	n. 电子信函	n.	0	0			ecdict_complete	
two	tu:	num. 二, 二个	num.	60	80			ecdict_complete	
health	'helθ	n. 健康, 卫生, 蓬勃, 健康状态\n[医] 健康	n.	373	344			ecdict_complete	
world	wә:ld	n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量\n[法] 世界, 地球, 世人	n.	146	123		s:worlds	ecdict_complete	
re	ri:	prep. 关于\nn. 不动产, 房地产\n[计] 赖斯编码	prep.	6108	3625		s:res	ecdict_complete	
next	'nekst	n. 下一个\na. 下一个的, 其次的, 贴近的\nadv. 然后, 下次, 次于\n[计] 近邻干扰	n.	199	217			ecdict_complete	
used	'ju:st	a. 使用过的, 二手的, 习惯的	a.	641	1828		0:use/1:dp/d:used/p:used	ecdict_complete	
go	gou	vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下\nvt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)\nn. 去, 尝试, 进行	vi.	44	35		i:going/p:went/d:gone/3:goes	ecdict_complete	
work	wә:k	n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程\nvi. 工作, 劳动, 做, 运转, 起作用, 被加工\nvt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成	n.	125	117		i:working/3:works/p:worked/d:worked	ecdict_complete	
last	lɑ:st	a. 最后的, 末尾的, 最近的\nvi. 持续, 支持, 维持\nvt. 使维持, 够...用\nadv. 最后, 后来\nn. 最后, 末尾, 鞋楦头	a.	119	130		p:lasted/3:lasts/i:lasting/d:lasted	ecdict_complete	
